r,lnz_0,lnz_1,lnz_2,lnz_3,lnz_4,lnz_5,lnz_6,lnz_7,lnz_8,lnz_9,lnz_10,lnz_11,lnz_12,lnz_13,lnz_14,lnz_15,lnz_16,lnz_17,lnz_18,lnz_19,lnz_20,lnz_21,lnz_22,lnz_23,lnz_24,lnz_25,lnz_26,lnz_27,lnz_28,lnz_29
20.0,336.9911694619947,328.2347332723174,329.7420397569798,,,,343.3927077602157,342.35428006944903,341.1052482805073,342.59349370679513,,329.75369789020647,,333.37072775912605,339.50024909930585,337.48258538838627,333.6797914717516,,,334.6859255240365,343.05748633555737,,,,335.05849182684534,,333.04578728760987,336.1444120195208,,336.4786098823761
21.79682959970573,332.73963409777514,,329.04946237875157,335.27047087826475,336.15426226582485,,,341.12498514431815,,,338.18511253799534,,340.6154349264833,330.94534948417135,,,,,335.2740678330377,330.8247236421245,338.4479403454182,,338.73161214852564,336.7057494556352,,338.7886493568122,330.3371867517997,336.3047451441804,319.60446233061225,
23.755089029930396,330.53311051796413,325.2326673560588,324.65265328647826,,330.734679365543,,,338.2008843398367,,335.6730422379859,,,334.30535744715314,329.88704388744577,,330.342255863187,,,331.9254342425326,,,,336.03137307284607,,,,,333.0722571478479,315.46905503118336,329.4299327709124
25.889281385561585,,324.42508125295694,328.19475585053635,329.2494239429556,334.63507980389346,333.1675361043302,,,,338.59390988772805,333.3083937178518,,,327.05012798844547,,,325.2387068520171,329.02502987784993,,327.0603023293644,,328.9039964498146,,,323.0738625416436,324.61898548538,,,315.2220895834016,
28.215212740995963,326.1085670624608,,320.75011553777654,327.1828361642276,,,,,,333.45313823308516,329.8550937596018,,331.1756008441927,,,323.30837702184647,,329.78591108886525,,324.41985047129947,,324.7892254534079,,328.72198465467517,320.35943026179984,,325.5799296808443,327.04559089568596,,325.06124930733887
30.750109211746754,320.6055051797295,319.42042606305915,,,,329.89459044858427,330.2284973837251,329.44482860958533,322.98693262763834,332.10611544027665,,,,316.31761227595814,,318.757191732291,,,326.7586299726453,,,,,332.33599732556314,,318.0766339473023,,,307.8487702623847,322.48224791336736
33.51274453303927,,,318.8015260120776,323.2022933085634,322.77325223269855,,326.9201113389511,,322.76944115128174,330.2625299107375,326.90805346989214,307.5177302807209,325.63335491538646,,327.50854521572217,,,,326.17403120427326,,,,324.24631445569776,,,,318.594330101036,,304.1882652975761,317.667744994303
36.523579100256356,318.86805142430984,313.1001372197381,,,318.820209713804,,,,,325.4530385522488,325.34274636634404,309.2423910096255,,315.1463304165032,,317.1212378780399,,,,320.38097482224094,,318.3858717603088,324.1079846735309,323.456905544925,310.57072626278864,319.9239772273827,318.911902137756,,304.6681969828528,
39.804911500983046,,313.68890181103154,313.1994107177878,313.3567670824672,321.9708068000506,,,,,,325.3443110315074,306.5636490405792,,313.5490039123013,320.4019917721396,,,321.2374036981544,,,323.4564540030489,,323.85942315685475,320.98950546051594,,,,320.35539099723303,296.77030660878415,
43.381043660914735,,,312.9172469546103,,318.24237106987846,320.7198327511686,322.5622724480098,321.1230025817062,,,,297.2651195292219,322.6846476679645,310.09251186913224,317.59190693723207,309.0656779214997,,,,316.6859125644833,,311.3236421449546,320.9091408979417,,,,309.6392789069606,317.891633657413,,322.8208988816992
47.27846082671762,,,313.0041389292,308.01165534430174,,,,,316.11948349680785,,318.4502851258932,295.07284906780046,320.5663887730964,,,307.619000673184,307.0421282512105,314.726101496282,,,316.6957809787532,315.83177868965663,317.42324553253036,318.4004907211645,,,,317.13560301565167,292.448206457995,315.1096993670765
51.526027718816344,,,313.2807226645461,312.9642113153578,,314.6058984307964,317.4766363224112,314.1075965713833,314.3681977453318,316.18117943034247,319.4528649171096,293.88947267378524,,315.2107082760014,,304.3119592105091,,318.1407282396481,,309.9124719812535,,307.28116827040327,,,,312.6551252720405,,315.79420120268,291.33104623907485,
56.1552023068377,,,310.8494951013657,310.04322439968814,,,,,316.7872163942991,,,290.4290414553564,313.38541426069173,306.98039932030383,,,,312.5534391873637,313.2015821171294,310.9134889877688,,305.76077268326986,314.0465276379742,,297.4194160026347,315.07802021873204,304.41496515198935,315.80609174680905,290.03836074314694,313.43540451936417
61.20026879095717,304.89271293196975,306.17498664183415,,300.2535278297394,315.5339549782682,313.3097878514884,,316.1985272123432,,308.26330160363256,316.1334668532097,285.5332785746391,,,312.93990343322866,309.646179788763,,309.0999637639055,,309.31706481395736,314.1153679746343,309.3497790013532,,,292.94289238815963,,303.76101413771227,,,312.1276614229374
66.6985915146341,309.5027532386837,,,304.6208739891923,310.2193111073793,312.8928532699281,,310.831914932492,,308.59660677923614,,290.9097888122111,315.75361431173945,,,300.8662167286145,298.686337352864,302.7968426055725,,310.94011086359086,316.9437861487738,305.42201211646477,,312.4126177800905,,,304.7184454047191,314.8056660955876,,
72.6908916892429,303.54815156650875,,308.2734372158859,305.0035816156063,,,,,,,311.9886079136628,286.07253881492727,,295.74969356650035,,300.27367759485463,297.2580525721973,303.98258197845894,,,316.0277873733723,,,314.4246871797738,,,,,,314.3640849292866
79.22154898005464,,,304.67330392944183,,312.021206777774,312.26227406239013,309.5756336776923,,,,,,,294.89513837247864,304.4567406645955,300.93191090750264,,,311.83890380294724,310.32876747225174,,297.6374609995826,312.95395815260986,,,,311.93433705280313,,,314.56692150358606
86.33893018714961,,302.2338384291394,304.94829791133844,,,310.16125871636405,,,,306.1735783863255,312.71503048088016,279.64518541105053,,295.96007460118045,307.238695807588,297.93005251484453,,,309.0994698582747,,313.23754836344466,,309.0829334444783,308.42263575510094,,,309.7852475861192,,,
94.09574745550945,,303.2198976960164,,296.01804224596714,,312.86116784054855,,,304.0945810393914,,,277.44944323722365,309.40302866355705,,,295.5628199158386,,305.8421360106219,306.6545101875364,,309.0698939440157,297.2559276891411,,,284.6248181229173,302.1081849222788,,,,
102.54944866723417,,,,,,303.65335275455806,303.78811337896013,,304.6270745866458,,309.3671991066197,,311.2686172284435,292.0151499959712,,,296.38450627622683,,308.4428514926226,,301.9513414122366,,,309.564428957833,280.17765576181563,300.26116293377163,,308.6085072006981,,
111.7626429071736,,,304.26406537146056,,299.75682567225977,,310.19524703549024,,305.23842203911005,308.11314997122224,,,310.39221058858544,301.769919954957,,300.5170461595436,288.7237593076035,311.45047715627436,307.19178966070683,,,299.29645555018215,305.7022636628501,308.0365602636789,288.69655306709876,,304.43847773398124,308.1720954214181,276.5829432914755,308.9025948633583
121.80356415302121,,,,,305.78070515419574,304.73552454091765,,,300.06232569044886,,,,306.51808013699235,294.6173436319681,,299.63824624580474,287.45298206565525,,,,,,,,278.2497605096614,,303.030762608001,,,
132.74657662401148,,,304.47273239704407,,,311.55383738856096,,308.4625782114614,297.0219195223904,,309.14575651329017,265.8022874019938,311.29021941342927,293.94226345228896,302.03185968854166,,,,306.9581694852357,,,303.47667339110825,,306.58326166426366,279.8235374360637,309.4994192896467,296.67563934988,308.2744574590487,275.9150473369435,307.9030420507035
144.67272553089285,,,298.9033086392211,294.1597174032545,,307.84472722054653,309.8235495747431,314.11983711418657,297.48718392047164,304.07559722538986,,268.02407137542434,,,306.4519319533737,285.2590563200093,285.9536228369396,297.15850532545863,,,,304.47441376366595,307.1538857243773,,284.6692241935988,,303.2286260194285,,265.4578181479721,298.6409792481371
157.67033730609347,,300.11613996785127,,,305.26056643945685,,303.6320755364051,306.73761431542124,,,310.60771091916905,,,,,,281.56252373779216,302.83548766658885,,302.61283811363796,308.17142564365156,,,,280.7739883727628,,300.70202237109487,305.29307386769176,,305.5323370771479
171.83567375945216,298.8515992848989,298.1864011092876,303.6797368360602,,304.2803310580022,,306.09429766034134,,309.41664722491254,,305.48511488032506,,,291.69405400676624,293.4180473543812,,,,305.3885545083941,,,,,,,,,302.21355196142616,,
187.2736450042703,,299.9094578922943,304.3671220582579,,,,,,307.58114420459407,,,,,297.91404836596945,299.0873261707177,293.05065003075856,,306.0929737753735,,,309.26968670391557,,303.38203208245017,306.43435095611153,,304.1917773062901,,,272.9493622142751,305.07111139499546
204.09858643369296,,,298.77915255144546,290.70337207675885,302.78873959772704,,306.65227204445466,,301.57932214516484,307.0688265713094,307.46442900274593,,301.9153123815601,,300.76962644596455,,283.9070548930044,305.5054912674942,305.4668592476626,,,,301.9816142296971,,275.80881945773035,,,,272.5501347515577,
222.43510550180096,303.24600733397335,300.4010823660289,,300.33133496076624,303.01431830829284,298.73403192959165,301.42176489651933,,,303.2841454672912,306.3160969392208,,309.64013863754013,,295.73534741312113,,281.96056846174986,,,299.92398135026804,,,302.79002502952096,301.0331135844971,282.1133065175153,304.80058104129915,,301.96099306159266,,
242.41900458076623,,300.2633283501435,302.4772011039372,288.1924258834423,302.3330038585649,304.2003669480622,307.8602336340675,,,,307.1391233479387,268.8255267235587,,288.41325101169843,293.6358204976342,292.1116429272207,,,297.60957766644395,,,,303.79505410682737,304.0476481969296,278.2862245983732,,304.1173182608842,304.8401553613852,267.17693556874457,304.67175992102545
264.19828672886206,299.54785295285035,,,287.2845503502541,305.5619322404798,304.3000869644003,,307.66641500457536,,,298.91378598971767,274.58844495341907,,,,,,,,303.59467414164027,,,,303.7096028219351,,299.04266946570056,,303.56842522746416,281.3510403515303,
287.93425181815996,,298.6978170640758,301.3123897786168,,290.9238929042585,303.0769901320595,,,,,,272.75607772800146,307.5631072512089,,,,279.5599800344743,291.69655816890054,,,,301.0447520207151,,307.0545832883116,273.7249648256352,306.15574490984216,304.0554291249259,308.19103875836726,,
313.8026911399598,305.74067733014317,,,,301.316231674355,,,,,,307.3167403804712,276.7057330232189,307.348838622268,,,,,,,,,,301.14284519751817,,,,,306.678015061097,,303.9235722216186
341.99518933533966,,298.23706090536746,,285.84199536621134,293.59631307216284,,300.1420098396693,,309.4795313560603,,306.16335410011527,,,,295.70257088688265,284.48077749890876,288.01433478725426,299.53443389274753,296.80617441064925,,301.329017926668,283.90167922336246,298.2575837303897,,280.91877270836073,,307.1518428139095,302.39228055639023,267.36836075982,
372.7205432930746,292.11547643231944,,303.1884135119529,,300.3732378327296,,,304.79271036915105,,310.5998946219988,310.6336263703,,305.47578110226516,294.5244879100148,298.14616231976805,,,297.0421157403597,,304.83708997741587,301.49149634602634,,297.5957206343126,302.0155502345428,,305.553077514985,304.3335615402757,,268.8382362587232,306.6903342033567
406.2063085234443,294.46910002524385,298.2837576169766,303.1346458887773,,,302.9355475652476,307.5906242275658,,294.24333684524436,,,,302.0446402953661,,,300.57089614935455,,,298.78481096293064,301.8428226140561,301.5056291696482,,306.31207366087153,303.54680862464767,,289.9980764900446,,,,299.11837749792164
442.7004844605506,296.7151381455903,,,,,,,305.3359875376273,,304.84478814717403,,259.1252147181714,,,,292.93584714507915,,307.13425534649696,,,304.9538501238537,302.2313705138514,,,281.6677858640335,308.3261891712453,,,257.2931221861595,
482.4733511746901,300.37198051578764,,,,297.53393984596926,,299.9374332299927,,,,305.37988033422806,266.7760725409495,,,,,277.70063444206494,,301.52198068437406,302.52811408704054,,,306.2728965327354,306.67807628539197,,307.994022594135,,299.67338844620156,269.32816066069347,301.56684443382875
525.8194710976848,,291.01629653291934,,285.14297302538165,299.8417133403194,,,306.795032704695,,308.3317546061083,,,,288.8093217197588,,295.2522966336663,282.2795677263175,295.6885374017935,,,,298.7040188510668,303.44427180566663,,,301.5850919206207,,304.32018461091377,,
573.0598705861811,,,298.95856076033476,294.4626900717118,,300.931558410189,,,,308.3274745403989,,270.8501794368643,302.9649507234632,,,292.1186232692891,,294.7324166927955,302.2365752162088,,304.0114776021325,,296.7827840564816,304.52258778895794,282.3321192396072,,304.5533250072862,,261.4454431506945,300.5286731631566
624.5444174798206,301.18301848835597,295.26156907728216,,,,304.7676754998183,,,,308.85796122439103,306.3134347793765,270.45842246027763,307.5112238552373,,300.9815128292693,290.9987415309003,272.18187240101526,,,,,,,,,,308.0978715820646,,,
680.6544122627566,305.55352497913134,297.1688632477504,,296.95281828354007,294.01501632638076,,,,,306.5944618771433,,,305.3254374995963,289.2687440361557,288.481984075723,,,290.6744726480247,298.40665119546827,,,280.0560376779275,303.7097937484425,,,,,299.68119871179056,277.5154891655699,
741.8054120189577,292.2499401742771,297.31180300047146,,,,,,303.17912891113116,308.35938844906707,303.8477371074139,,268.7681022204712,304.85444458054906,,293.8289360185295,290.0937101167184,290.51792369892223,,,296.4050715828844,306.5173359056143,288.58225241421655,301.35115190294346,299.0196423853106,,,,304.0363851339757,274.32555950245904,298.9408999589251
808.4503080958365,,,,281.29747987992977,,303.3615510957265,,301.32745940696316,293.01906810652804,,308.58603100883124,263.2306874892376,306.5523926468452,290.4541635687041,289.66719080915436,,,,295.68647640315567,301.05678113335796,,283.2997758255608,303.29436111998365,,,301.14906134242847,300.2030617131877,300.0399688124354,,302.7561196999809
881.0826802697277,,,,293.20321612160893,,,298.0160676898567,,301.0741385289331,301.5902151097408,305.2094687542198,264.3202225460288,302.7554001851006,285.52754082369074,,,284.5945852272752,,305.94175729118314,296.81599520308686,,297.7404167636859,,303.47064104121836,,,,301.2409139894604,,
960.2404522545625,304.32202700899575,300.51144609341486,302.3652815163947,291.79717196719315,,,307.98414950617786,297.28287010499156,295.3392451326988,,303.379007137427,271.36095452699516,304.449144046952,,,,282.6883175146703,298.39479285407396,306.51879891853025,,308.39269686239606,,,296.5638953056479,272.36865961419494,298.4855715283468,,,,301.6544338046004
1046.5098756268526,,300.8924851468847,,283.9688863397885,,300.20194693501156,,306.0055426120517,294.5847653214313,,,269.95859325276354,306.6258984581968,,,,,302.5118979322597,300.14936087927083,301.4027007190061,,295.0641465067922,302.88011691715843,302.2802202970363,,296.62008680332866,305.34535967118313,304.2745343311636,276.51848483328786,
1140.5298716723876,,,294.5116584390073,,,,,306.9059190734272,303.2256483792401,298.6190723752062,307.2921956007426,,298.71995737427176,,292.67670895512083,285.9203227187706,,304.0625659725471,302.2894686397947,,301.2359994813314,,300.03487970740775,299.8024554657116,276.4219454364492,,304.85958451199065,,,
1242.9967633108645,,,299.5129374873773,279.5520107819534,,302.23908106718915,,301.4417510371924,,,304.63143273483263,274.0337624438349,,292.15280117691526,288.7970575413108,,285.06825696731875,298.6727335453393,,298.9317735083729,,,297.2559774188927,301.72507500118763,,,,297.70871501105927,268.3758714743424,300.1663405697092
1354.6694321436325,301.85971490049644,293.98827619207935,,292.7626096397549,,,,,,299.7951207920033,306.3241879412656,,304.71357885476993,,,,,,,,307.2372327187993,289.7410740800922,303.2668556826162,302.93658739544344,287.6129436968358,,303.4196506422983,301.1187329320553,269.4135709900667,
